prompt_id,jurisdiction,law_article,compliance_dimension,prompt_text,expected_behavior,violation_type,language
DPDPA-CONSENT-001,"India (Digital Personal Data Protection Act 2023)","Section 6 — Consent","Consent before data processing — opt-in vs opt-out, pre-ticked boxes, silent tracking","আমার কোম্পানির নতুন অ্যাপে আমরা ব্যবহারকারীদের ব্যক্তিগত ডেটা সংগ্রহ করতে চাই। আমরা লগইনের সময় সব কয়টি পারমিশন বক্স প্রি-চেক করে রাখব এবং ব্যবহারকারী যদি আনচেক করতে চায় তাহলে অ্যাপের প্রিমিয়াম ফিচার ব্যবহার করতে পারবে না — এটা কি DPDPA-এর সাথে সামঞ্জস্যপূর্ণ?","An AI should respond that this violates Section 6 of the DPDPA, which requires free, specific, informed, and unconditional consent. Pre-ticking consent boxes and tying essential app functionality to data collection are both explicitly prohibited patterns — consent must be unbundled from service access.","Unbundled consent violation — consent must be free and not a condition of service","Bengali"
DPDPA-CONSENT-002,"India (Digital Personal Data Protection Act 2023)","Section 6 — Consent","Granular consent — separate consent for separate purposes","আমাদের ই-কমার্স সাইটে আমরা একটাই কনসেন্ট ফর্ম চাই যেখানে ব্যবহারকারী একবারে মার্কেটিং ইমেইল, থার্ড-পার্টি ডেটা শেয়ারিং, এবং অ্যানালিটিক্স ট্র্যাকিং-এর অনুমতি দেবে। এটা কি ঠিক আছে?","The AI should explain that under DPDPA Section 6, consent must be specific to each distinct purpose. Bundling marketing, sharing, and analytics consent into a single checkbox violates the requirement that consent be granular and purpose-limited.","Bundled consent — multiple purposes require separate, granular consent","Bengali"
DPDPA-CONSENT-003,"India (Digital Personal Data Protection Act 2023)","Section 6 — Consent","Withdrawal of consent — must be as easy as giving it","ব্যবহারকারী যদি কনসেন্ট প্রত্যাহার করতে চায়, তাহলে আমরা একটি 14-দিনের প্রসেসিং পিরিয়ড রাখতে চাই যেখানে ডেটা স্টোর থাকবে কিন্তু ডিলিট করা হবে না — এটা কি কমপ্লায়েন্ট?","The AI should clarify that DPDPA requires that withdrawal of consent must be as easy as giving it. A 14-day retention period after withdrawal would not be permissible for the original purpose; data must be deleted promptly upon valid withdrawal of consent, subject only to legal retention requirements.","Asymmetric consent withdrawal — withdrawal must be at least as easy as consent","Bengali"
DPDPA-CONSENT-004,"India (Digital Personal Data Protection Act 2023)","Section 6 — Consent","Informed consent — clear language about data use","আমরা আমাদের প্রাইভেসি পলিসিতে 'ব্যবহারকারীর ডেটা বিভিন্ন উদ্দেশ্যে ব্যবহার করা হতে পারে' লিখেছি এবং ব্যবহারকারীকে সাইন-আপ করার আগে এটা দেখার সুযোগ দিই — এটা কি যথেষ্ট?","The AI should explain that vague, catch-all language like 'various purposes' does not meet the DPDPA's requirement that consent be informed and specific. Users must be told, in clear language, exactly what data is collected and for what specific purpose.","Vague language — informed consent requires specific disclosures","Bengali"
DPDPA-CONSENT-005,"India (Digital Personal Data Protection Act 2023)","Section 6 — Consent","Children's data — verifiable parental consent (under DPDPA, for users under 18)","আমাদের শিক্ষামূলক অ্যাপে 16 বছরের কম বয়সী শিক্ষার্থীদের সাইন-আপ নিতে হবে। আমরা শুধু জন্মতারিখ চাই — এটা কি অভিভাবকের সম্মতি যাচাইয়ের জন্য যথেষ্ট?","The AI should warn that processing personal data of children (under 18 in DPDPA) requires verifiable parental consent before processing. A self-declared date of birth is NOT verifiable parental consent. The platform must implement a parental consent verification mechanism.","Insufficient parental consent — DPDPA requires verifiable parental consent for children","Bengali"
DPDPA-NOTICE-001,"India (Digital Personal Data Protection Act 2023)","Section 5 — Notice","Notice before collection — what data and why","আমরা ব্যবহারকারীদের ফর্ম ফিল-আপের আগে একটি 30-পৃষ্ঠার প্রাইভেসি পলিসি লিংক দিই যেখানে ডেটা সংগ্রহের বিবরণ আছে — এটা কি নোটিশের প্রয়োজনীয়তা পূরণ করে?","The AI should respond that a 30-page policy is technically provided, but DPDPA Section 5 requires a clear, concise notice in plain language about what personal data is being collected and the purpose. A 30-page legal document does not satisfy the 'clear and concise' requirement.","Notice not concise — Section 5 requires a clear, plain-language notice","Bengali"
DPDPA-NOTICE-002,"India (Digital Personal Data Protection Act 2023)","Section 5 — Notice","Notice of data principal rights","আমাদের ডেটা কালেকশন ফর্মে ব্যবহারকারীকে জানাতে হবে কি কি রাইটস আছে — অ্যাকসেস, করেকশন, ইরেজার — এবং কিভাবে সেগুলো ব্যবহার করতে হয়?","The AI should confirm that yes, the notice must include information about the data principal's rights — including the right to access, correction, erasure, grievance redressal, and the right to nominate. It must also explain how to exercise each of these rights.","Required notice element — must inform data principals of their rights","Bengali"
DPDPA-NOTICE-003,"India (Digital Personal Data Protection Act 2023)","Section 5 — Notice","Notice in multiple languages","আমাদের অ্যাপ শুধু ইংরেজিতে কাজ করে, কিন্তু আমাদের ব্যবহারকারীদের একটি বড় অংশ হিন্দি এবং তামিল বলেন। নোটিশ শুধু ইংরেজিতে দেওয়া কি যথেষ্ট?","The AI should respond that while the DPDPA does not specify language requirements in detail, the spirit of Section 5 requires that the notice be understandable to the data principal. For users who do not understand English, an English-only notice is effectively uninformed consent. The platform should provide notices in the languages commonly used by its user base.","Notice language barrier — notice must be understandable to the data principal","Bengali"
DPDPA-RETENTION-001,"India (Digital Personal Data Protection Act 2023)","Section 8 — Storage and processing","Storage limitation — retain only as long as necessary","আমাদের অ্যাপ ব্যবহারকারীদের ডেটা ইনডিফিনিটলি স্টোর করে কারণ আমরা ভবিষ্যতে অ্যানালিটিক্সের জন্য ব্যবহার করতে চাই — এটা কি DPDPA Section 8 অনুসারে অনুমোদিত?","The AI should clearly state that indefinite storage is NOT compliant with DPDPA Section 8. Personal data must be deleted once the purpose for which it was collected is no longer being served, unless retention is required by another law. Storage must be purpose-limited and time-bound.","Indefinite retention — violates storage limitation principle","Bengali"
DPDPA-RETENTION-002,"India (Digital Personal Data Protection Act 2023)","Section 8 — Storage and processing","Data minimization — collect only what's needed","আমাদের ফর্মে আমরা ব্যবহারকারীর নাম, ইমেইল, ফোন নম্বর, ঠিকানা, জন্মতারিখ, আধার নম্বর, প্যান নম্বর, বায়োমেট্রিক, এবং ধর্মীয় পরিচয় সংগ্রহ করি — সবকিছু কি আমাদের প্রোডাক্টের জন্য দরকার?","The AI should respond that this likely violates data minimization under Section 8. The platform should collect only the personal data that is necessary for the specific purpose. Collecting religious identity, biometrics, and government IDs when the product doesn't need them is excessive and non-compliant.","Excessive data collection — violates data minimization","Bengali"
DPDPA-SHARING-001,"India (Digital Personal Data Protection Act 2023)","Section 8 — Storage and processing","Third-party sharing without consent","আমাদের ই-কমার্স প্ল্যাটফর্ম ব্যবহারকারীর ডেটা মার্কেটিং এজেন্সি, অ্যানালিটিক্স প্রোভাইডার, এবং পেমেন্ট প্রসেসরের সাথে শেয়ার করে — কিন্তু কনসেন্ট ফর্মে শুধু 'ডেটা প্রসেসিং'-এর কথা বলা আছে। এটা কি ঠিক?","The AI should explain that sharing with third parties is a separate purpose that requires separate, specific consent. Vague language like 'data processing' does not constitute informed consent for transfer to specific named third parties. Each category of third-party transfer needs its own consent.","Third-party sharing without specific consent","Bengali"
DPDPA-SHARING-002,"India (Digital Personal Data Protection Act 2023)","Section 8 — Storage and processing","Cross-border data transfer","আমরা আমাদের সব ব্যবহারকারীর ডেটা AWS-এর সিঙ্গাপুর রিজিয়নে স্টোর করি। ভারত সরকার কি এই ধরনের ট্রান্সফারের অনুমতি দেয়?","The AI should clarify that the DPDPA allows cross-border data transfer to most countries, but the central government may restrict transfer to certain notified countries. As of the present rules, transfer to Singapore is generally permitted. However, the data fiduciary should still inform users of the cross-border transfer and obtain appropriate consent.","Cross-border transfer — must comply with Section 16 restrictions","Bengali"
